"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.8743289,604,0,0,1,4,15,0
1,2.6091845,654,0,0,1,14,16,0
2,2.6079416,695,0,1,1,15,17,0
3,2.3999593,826,0,0,1,26,20,0
4,2.3979485,907,0,1,1,27,22,0
5,2.4230247,909,0,0,1,29,22,0
6,2.7673979,1250,0,26,5,10,31,0
7,2.4004624,866,1,10,2,26,21,0
8,2.4237945,908,1,150,13,28,22,0
9,2.6132679,655,1,4,1,15,16,0
10,2.6176176,696,1,259,9,16,17,0
11,2.8081834,1052,1,111,13,12,26,0
12,2.8748178,605,1,1024,41,5,15,0
13,6.1724505,1599,3,1024,41,39,39,0
