"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,91.378387,1560,3,1588,27,88.879913,0,0,0,5,1,0,0,-3.0615654,91.378387,0
2,2.5161653,1145,1,1588,27,0.0071809292,0,0,0,4,0,0,1,-7.7499809,2.5161653,0
2,2.5161653,1145,1,1588,27,0.0071809292,0,0,1,4,0,0,1,-3.0615654,2.5161653,0
4,2.505466,1142,1,3,3,0.0051341057,0,0,0,3,0,0,2,-7.7499809,2.505466,0
4,2.505466,1142,1,3,3,0.0051341057,0,0,1,3,0,0,2,-3.0615654,2.505466,0
6,2.5089843,1185,0,0,1,0.0071809292,0,0,0,2,0,0,1,-7.7499809,2.5089843,0
6,2.5089843,1185,0,0,1,0.0071809292,0,0,1,2,0,0,1,-7.7499809,2.5089843,0
8,2.498477,1143,0,3,1,88.879913,0,0,0,1,1,0,0,-3.0615654,2.498477,0
8,2.498477,1143,0,3,1,88.879913,0,0,1,1,1,0,0,-3.0615654,2.498477,0
10,2.5003319,1102,0,0,1,0.0051341057,0,0,0,0,0,0,2,-7.7499809,2.5003319,0
10,2.5003319,1102,0,0,1,0.0051341057,0,0,1,0,0,0,2,-7.7499809,2.5003319,0
