"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1598,0,38,39,0,2.5546646,2.5546646,0
31,3,31,0,0,2.5546646,2.6819839,0
1596,0,36,39,0,2.5562217,2.5562217,0
1597,1,37,39,0,2.5562217,2.5572314,0
1594,0,34,39,0,2.5577254,2.5577254,0
1595,1,35,39,0,2.5577254,2.5587718,0
1592,0,32,39,0,2.5591488,2.5591488,0
1593,1,33,39,0,2.5591488,2.5602388,0
1590,0,30,39,0,2.5604663,2.5604663,0
1591,1,31,39,0,2.5604663,2.5616055,0
1588,0,28,39,0,2.5616567,2.5616567,0
1589,1,29,39,0,2.5616567,2.5628486,0
1560,0,0,39,0,2.5626822,2.5626822,0
1575,1,15,39,0,2.5626822,2.567096,0
1586,0,26,39,0,2.5627038,2.5627038,0
1587,1,27,39,0,2.5627038,2.563951,0
1562,0,2,39,0,2.5633521,2.5633521,0
1561,1,1,39,0,2.5633521,2.5641992,0
1584,0,24,39,0,2.5635951,2.5635951,0
1585,1,25,39,0,2.5635951,2.5648975,0
1564,0,4,39,0,2.5639634,2.5639634,0
1563,1,3,39,0,2.5639634,2.5648963,0
1582,0,22,39,0,2.5643222,2.5643222,0
1583,1,23,39,0,2.5643222,2.5656786,0
1566,0,6,39,0,2.5644994,2.5644994,0
1565,1,5,39,0,2.5644994,2.5655258,0
1580,0,20,39,0,2.5648818,2.5648818,0
1581,1,21,39,0,2.5648818,2.566288,0
1568,0,8,39,0,2.5649433,2.5649433,0
1567,1,7,39,0,2.5649433,2.566072,0
1578,0,18,39,0,2.565274,2.565274,0
1579,1,19,39,0,2.565274,2.566726,0
1570,0,10,39,0,2.5652797,2.5652797,0
1569,1,9,39,0,2.5652797,2.5665174,0
1572,0,12,39,0,2.5654936,2.5654936,0
1571,1,11,39,0,2.5654936,2.5668459,0
1576,0,16,39,0,2.5655015,2.5655015,0
1577,1,17,39,0,2.5655015,2.5669932,0
1574,0,14,39,0,2.5655713,2.5655713,0
1573,1,13,39,0,2.5655713,2.5670433,0
