"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
976,0,16,24,0,0.046220489,0.046220489,0
0,3,0,0,0,0.046220489,4049.8206,0
1017,0,17,25,0,0.062256064,0.062256064,0
1016,1,16,25,0,0.062256064,0.075776413,0
857,0,17,21,0,0.095292456,0.095292456,0
936,1,16,23,0,0.095292456,0.41339567,0
1059,0,19,26,0,0.15277693,0.15277693,0
1019,1,19,25,0,0.15277693,0.17226119,0
819,0,19,20,0,0.22282065,0.22282065,0
818,1,18,20,0,0.22282065,0.55463022,0
899,2,19,22,0,0.92321116,0.92321116,0
898,3,18,22,0,0.92321116,1.0266114,0
1533,0,13,38,0,8.3584042,8.3584042,0
1374,1,14,34,0,8.3584042,14.380102,0
1574,0,14,39,0,8.4128799,8.4128799,0
1573,1,13,39,0,8.4128799,8.4810696,0
190,0,30,4,0,69.236511,69.236511,0
229,1,29,5,0,69.236511,71.079857,0
99,0,19,2,0,121.67059,121.67059,0
139,1,19,3,0,121.67059,122.17903,0
