"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1560,0,0,39,0,2.5908844,2.5908844,0
39,3,39,0,0,2.5908844,2.6346149,0
1562,0,2,39,0,2.5911882,2.5911882,0
1561,1,1,39,0,2.5911882,2.5918207,0
1564,0,4,39,0,2.5914719,2.5914719,0
1563,1,3,39,0,2.5914719,2.5921235,0
1566,0,6,39,0,2.5917346,2.5917346,0
1565,1,5,39,0,2.5917346,2.5924056,0
1568,0,8,39,0,2.5919755,2.5919755,0
1567,1,7,39,0,2.5919755,2.5926661,0
1570,0,10,39,0,2.5921946,2.5921946,0
1569,1,9,39,0,2.5921946,2.5929055,0
1572,0,12,39,0,2.5923915,2.5923915,0
1571,1,11,39,0,2.5923915,2.5931215,0
1574,0,14,39,0,2.5925643,2.5925643,0
1573,1,13,39,0,2.5925643,2.5933151,0
1598,0,38,39,0,2.5926912,2.5926912,0
1587,1,27,39,0,2.5926912,2.5939827,0
1576,0,16,39,0,2.5927143,2.5927143,0
1575,1,15,39,0,2.5927143,2.5934849,0
1596,0,36,39,0,2.5928228,2.5928228,0
1597,1,37,39,0,2.5928228,2.5936835,0
1578,0,18,39,0,2.5928388,2.5928388,0
1577,1,17,39,0,2.5928388,2.5936306,0
1594,0,34,39,0,2.5929294,2.5929294,0
1595,1,35,39,0,2.5929294,2.5937963,0
1580,0,20,39,0,2.5929399,2.5929399,0
1579,1,19,39,0,2.5929399,2.5937517,0
1592,0,32,39,0,2.5930088,2.5930088,0
1593,1,33,39,0,2.5930088,2.5938826,0
1582,0,22,39,0,2.5930159,2.5930159,0
1581,1,21,39,0,2.5930159,2.5938475,0
1590,0,30,39,0,2.5930622,2.5930622,0
1591,1,31,39,0,2.5930622,2.5939422,0
1584,0,24,39,0,2.593066,2.593066,0
1583,1,23,39,0,2.593066,2.5939181,0
1588,0,28,39,0,2.5930896,2.5930896,0
1589,1,29,39,0,2.5930896,2.5939753,0
1586,0,26,39,0,2.5930901,2.5930901,0
1585,1,25,39,0,2.5930901,2.5939634,0
