"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.6542664,268,0,3,2,28,6,0
1,2.400394,616,0,0,1,16,15,0
2,2.399353,657,0,0,1,17,16,0
3,2.4515021,936,0,0,1,16,23,0
4,2.4512262,1018,0,2,1,18,25,0
5,2.4326444,1142,0,0,1,22,28,0
6,2.4280269,1183,0,3,1,23,29,0
7,2.4376638,1225,0,0,1,25,30,0
8,2.4023836,617,1,62,7,17,15,0
9,2.4352012,1143,1,2,2,23,28,0
10,2.4409382,1185,1,12,7,25,29,0
11,2.4524055,1058,1,0,2,18,26,0
12,2.4515181,896,1,8,2,16,22,0
13,2.4528766,977,1,331,18,17,24,0
14,2.661212,346,1,1161,40,26,8,0
15,5.3451219,1560,3,1161,40,0,39,0
