"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,2.6379693,1598,3,1461,30,0.037135124,0,0,0,11,1,0,0,-55.3806,2.6379693,0
2,2.602021,467,1,1461,30,0.00023007393,0,0,0,10,0,0,1,-55.434032,2.602021,0
2,2.602021,467,1,1461,30,0.00023007393,0,0,1,10,0,0,1,-55.3806,2.602021,0
4,2.601943,503,1,23,4,1.6689301e-06,0,0,0,8,0,0,2,-55.43589,2.601943,0
4,2.601943,503,1,23,4,1.6689301e-06,0,0,1,8,0,0,2,-55.434032,2.601943,0
6,2.6020041,468,1,2,1,1.1920929e-06,0,0,0,9,0,0,3,-55.432175,2.6020041,0
6,2.6020041,468,1,2,1,1.1920929e-06,0,0,1,9,0,0,3,-55.3806,2.6020041,0
8,2.6018214,574,1,31,9,3.0994415e-06,0,0,0,7,0,0,4,-55.43589,2.6018214,0
8,2.6018214,574,1,31,9,3.0994415e-06,0,0,1,7,0,0,4,-55.434032,2.6018214,0
10,2.6019413,543,0,0,1,1.6689301e-06,0,0,0,4,0,0,2,-55.43589,2.6019413,0
10,2.6019413,543,0,0,1,1.6689301e-06,0,0,1,4,0,0,2,-55.43589,2.6019413,0
12,2.6008341,439,0,67,11,0.037135124,0,0,0,0,1,0,0,-55.3806,2.6008341,0
12,2.6008341,439,0,67,11,0.037135124,0,0,1,0,1,0,0,-55.3806,2.6008341,0
14,2.6020029,507,0,0,1,1.1920929e-06,0,0,0,1,0,0,3,-55.432175,2.6020029,0
14,2.6020029,507,0,0,1,1.1920929e-06,0,0,1,1,0,0,3,-55.432175,2.6020029,0
16,2.6018162,537,1,1,3,1.9073486e-05,0,0,0,6,0,0,5,-55.43589,2.6018162,0
16,2.6018162,537,1,1,3,1.9073486e-05,0,0,1,6,0,0,5,-55.434032,2.6018162,0
18,2.6018183,534,0,0,1,3.0994415e-06,0,0,0,2,0,0,4,-55.43589,2.6018183,0
18,2.6018183,534,0,0,1,3.0994415e-06,0,0,1,2,0,0,4,-55.43589,2.6018183,0
20,2.6017909,536,0,2,1,0.00023007393,0,0,0,3,0,0,1,-55.434032,2.6017909,0
20,2.6017909,536,0,2,1,0.00023007393,0,0,1,3,0,0,1,-55.434032,2.6017909,0
22,2.6017971,577,0,1,1,1.9073486e-05,0,0,0,5,0,0,5,-55.43589,2.6017971,0
22,2.6017971,577,0,1,1,1.9073486e-05,0,0,1,5,0,0,5,-55.43589,2.6017971,0
