"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1598,0,38,39,0,2.3034635,2.3034635,0
0,3,0,0,0,2.3034635,2.3037252,0
1596,0,36,39,0,2.3034654,2.3034654,0
1597,1,37,39,0,2.3034654,2.3034682,0
1594,0,34,39,0,2.3034704,2.3034704,0
1595,1,35,39,0,2.3034704,2.3034725,0
1592,0,32,39,0,2.3034785,2.3034785,0
1593,1,33,39,0,2.3034785,2.3034799,0
1590,0,30,39,0,2.3034875,2.3034875,0
1591,1,31,39,0,2.3034875,2.303488,0
1580,0,20,39,0,2.3035283,2.3035283,0
1581,1,21,39,0,2.3035283,2.3035283,0
1566,0,6,39,0,2.3035817,2.3035817,0
1567,1,7,39,0,2.3035817,2.3035824,0
889,2,9,22,0,2.3036098,2.3036098,0
929,3,9,23,0,2.3036098,2.3036101,0
851,2,11,21,0,2.3036122,2.3036122,0
891,3,11,22,0,2.3036122,2.3036122,0
