"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
48,0,8,1,0,2.6017911,2.6017911,0
1598,3,38,39,0,2.6017911,2.6100986,0
89,0,9,2,0,2.6017919,2.6017919,0
49,1,9,1,0,2.6017919,2.6017938,0
46,0,6,1,0,2.6017933,2.6017933,0
86,1,6,2,0,2.6017933,2.6017935,0
23,0,23,0,0,2.6018836,2.6018836,0
22,1,22,0,0,2.6018836,2.6018848,0
25,0,25,0,0,2.601907,2.601907,0
24,1,24,0,0,2.601907,2.6019104,0
27,0,27,0,0,2.6019316,2.6019316,0
26,1,26,0,0,2.6019316,2.6019375,0
29,0,29,0,0,2.6019568,2.6019568,0
28,1,28,0,0,2.6019568,2.6019654,0
31,0,31,0,0,2.6019819,2.6019819,0
30,1,30,0,0,2.6019819,2.601994,0
33,0,33,0,0,2.6020067,2.6020067,0
32,1,32,0,0,2.6020067,2.6020224,0
35,0,35,0,0,2.6020308,2.6020308,0
34,1,34,0,0,2.6020308,2.6020501,0
37,0,37,0,0,2.6020534,2.6020534,0
36,1,36,0,0,2.6020534,2.6020765,0
39,0,39,0,0,2.6020732,2.6020732,0
38,1,38,0,0,2.6020732,2.6021008,0
