"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
896,0,16,22,0,0.013633939,0.013633939,0
1599,3,39,39,0,0.013633939,1293.6133,0
977,0,17,24,0,0.017850598,0.017850598,0
937,1,17,23,0,0.017850598,0.061319441,0
1018,0,18,25,0,0.027269332,0.027269332,0
1017,1,17,25,0,0.027269332,0.038023889,0
819,0,19,20,0,0.08912985,0.08912985,0
818,1,18,20,0,0.08912985,0.2618365,0
388,0,28,9,0,58.768738,58.768738,0
427,1,27,10,0,58.768738,62.437912,0
309,0,29,7,0,71.956337,71.956337,0
349,1,29,8,0,71.956337,77.260399,0
191,0,31,4,0,86.054375,86.054375,0
230,1,30,5,0,86.054375,86.145782,0
112,0,32,2,0,96.195389,96.195389,0
152,1,32,3,0,96.195389,99.432961,0
