"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,121.67059,99,0,0,1,19,2,0
1,69.236511,190,0,0,1,30,4,0
2,0.22282065,819,0,5,1,19,20,0
3,0.095292456,857,0,1,2,17,21,0
4,0.046220489,976,0,0,1,16,24,0
5,0.062256064,1017,0,1,1,17,25,0
6,0.15277693,1059,0,0,1,19,26,0
7,8.3584042,1533,0,0,1,13,38,0
8,8.4128799,1574,0,0,1,14,39,0
9,0.075776413,1016,1,0,3,16,25,0
10,0.17226119,1019,1,4,3,19,25,0
11,0.41339567,936,1,3,3,16,23,0
12,0.55463022,818,1,91,14,18,20,0
13,8.4810696,1573,1,12,5,13,39,0
14,14.380102,1374,1,166,32,14,34,0
15,71.079857,229,1,91,10,29,5,0
16,122.17903,139,1,1208,19,19,3,0
17,4049.8206,0,3,1208,19,0,0,0
