"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,788166.69,23,0,0,1,23,0,0
1,599867.5,103,0,1,1,23,2,0
2,518331.97,106,0,0,1,26,2,0
3,1052591,113,0,0,1,33,2,0
4,336598.06,147,0,0,1,27,3,0
5,1221747.2,180,0,1,1,20,4,0
6,443045.75,183,0,0,1,23,4,0
7,327977.03,225,0,0,1,25,5,0
8,712993.81,270,0,0,1,30,6,0
9,878073.69,298,0,0,1,18,7,0
10,219183.11,301,0,1,2,21,7,0
11,464466.31,339,0,0,1,19,8,0
12,2395.7817,375,0,3,2,15,9,0
13,1534.463,430,0,0,1,30,10,0
14,39326.32,498,0,0,1,18,12,0
15,18682.59,619,0,1,1,19,15,0
16,11314.944,657,0,0,1,17,16,0
17,966.23505,666,0,0,1,26,16,0
18,929.42841,745,0,1,1,25,18,0
19,2.1119568,779,0,24,6,19,19,0
20,1048.2573,864,0,0,1,24,21,0
21,2646.0288,900,0,1,1,20,22,0
22,1116.191,943,0,1,1,23,23,0
23,722.25525,974,0,1,1,14,24,0
24,784.94922,1053,0,0,1,13,26,0
25,1238.724,1062,0,1,1,22,26,0
26,360125.78,1136,0,0,1,16,28,0
27,1425.2211,1181,0,0,1,21,29,0
28,206781.34,1253,0,0,1,13,31,0
29,1219831.2,1410,0,0,1,10,35,0
30,305558.09,1456,0,1,1,16,36,0
31,618340.62,1487,0,0,1,7,37,0
32,2529880.5,1489,0,0,1,9,37,0
33,3753363.8,1491,0,0,1,11,37,0
34,2567330.5,1571,0,0,1,11,39,0
35,455194.34,1576,0,1,1,16,39,0
36,879.54926,1013,1,78,2,13,25,0
37,4057.0681,975,1,6,5,15,24,0
38,1111.7646,706,1,2,3,26,17,0
39,1262.3861,904,1,0,2,24,22,0
40,1300.0144,825,1,5,5,25,20,0
41,1456.329,1023,1,4,15,23,25,0
42,1647.1851,469,1,1,18,29,11,0
43,1661.2699,1142,1,534,8,22,28,0
44,4279.4141,860,1,3,11,20,21,0
45,4430.8657,454,1,238,6,14,11,0
46,12281.843,697,1,140,3,17,17,0
47,22029.592,620,1,79,5,20,15,0
48,37061.574,823,1,22,8,23,20,0
49,48053.465,499,1,96,18,19,12,0
50,228142.53,1213,1,36,2,13,30,0
51,360048.78,186,1,3,3,26,4,0
52,535030,263,1,0,1,23,6,0
53,384431.59,1135,1,16,19,15,28,0
54,573777.06,222,1,2,2,22,5,0
55,485590.03,379,1,4,26,19,9,0
56,503389.5,1417,1,15,3,17,35,0
57,614366.88,1536,1,4,9,16,38,0
58,638998.38,143,1,0,5,23,3,0
59,627804.81,1447,1,1,30,7,36,0
60,647345.44,340,1,8,7,20,8,0
61,693144.31,145,1,15,6,25,3,0
62,772364.69,271,1,29,13,31,6,0
63,949383.25,338,1,12,14,18,8,0
64,1059275.6,152,1,6,9,32,3,0
65,1089882.9,63,1,18,36,23,1,0
66,1308272.1,1409,1,25,33,9,35,0
67,1625332.8,181,1,34,36,21,4,0
68,2573812.8,1528,1,34,2,8,38,0
69,4309256,1490,1,5,1,10,37,0
70,4764056.5,1531,1,15,1,11,38,0
71,13218153,1572,3,15,1,12,39,0
