"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.3053942,380,0,0,1,20,9,0
1,2.305352,421,0,1,1,21,10,0
2,2.3054552,423,0,1,1,23,10,0
3,2.3055496,425,0,1,1,25,10,0
4,2.3057263,428,0,1,1,28,10,0
5,2.3053892,459,0,0,1,19,11,0
6,2.3058386,509,0,0,1,29,12,0
7,2.3053308,535,0,0,1,15,13,0
8,2.3062811,551,0,1,1,31,13,0
9,2.3053198,573,0,0,1,13,14,0
10,2.3065166,593,0,0,1,33,14,0
11,2.3053777,608,0,0,1,8,15,0
12,2.305398,611,0,0,1,11,15,0
13,2.3053939,649,0,0,1,9,16,0
14,2.3071806,795,0,2,2,35,19,0
15,2.3056536,1012,0,2,1,12,25,0
16,2.3056834,1053,0,0,1,13,26,0
17,2.3057292,1132,0,0,1,12,28,0
18,2.3068709,1151,0,0,1,31,28,0
19,2.3057292,1173,0,1,1,13,29,0
20,2.3058188,1175,0,0,1,15,29,0
21,2.3057714,1178,0,1,1,18,29,0
22,2.3057852,1182,0,0,1,22,29,0
23,2.3064437,1187,0,0,1,27,29,0
24,2.3057296,1220,0,0,1,20,30,0
25,2.305908,1223,0,0,1,23,30,0
26,2.305784,1261,0,0,1,21,31,0
27,2.305331,534,1,2,2,14,13,0
28,2.3054032,648,1,0,2,8,16,0
29,2.3054025,420,4,0,2,20,10,0
30,2.3054047,610,1,0,2,10,15,0
31,2.3054078,572,1,1,6,12,14,0
32,2.3054295,458,1,8,5,18,11,0
33,2.3054938,383,1,32,1,23,9,0
34,2.3057115,424,1,20,3,24,10,0
35,2.3056896,1052,1,5,1,12,26,0
36,2.3058136,427,1,33,2,27,10,0
37,2.3057375,1092,1,12,1,12,27,0
38,2.3057916,1133,1,5,2,13,28,0
39,2.3057818,1219,1,3,2,19,30,0
40,2.3058131,1221,4,1,4,21,30,0
41,2.3058259,1135,1,12,2,15,28,0
42,2.3058629,1177,1,17,6,17,29,0
43,2.3059754,469,1,2,21,29,11,0
44,2.3059263,1183,1,15,13,23,29,0
45,2.3059778,891,1,151,21,11,22,0
46,2.3063123,550,1,67,16,30,13,0
47,2.3065073,1186,1,43,17,26,29,0
48,2.3066256,553,1,73,15,33,13,0
49,2.306881,1150,1,70,12,30,28,0
50,2.3072636,716,1,965,38,36,17,0
51,42.127476,1,3,965,38,1,0,0
