"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2058904.8,30,0,1,1,30,0,0
1,932806.69,104,0,0,1,24,2,0
2,1433722.8,146,0,6,2,26,3,0
3,6042046.5,152,0,2,1,32,3,0
4,41095.246,180,0,0,1,20,4,0
5,8288.6006,236,0,0,1,36,5,0
6,400084.69,262,0,0,1,22,6,0
7,2780357,267,0,0,1,27,6,0
8,901492.38,344,0,1,2,24,8,0
9,333762.94,381,0,0,1,21,9,0
10,227011.67,460,0,0,1,20,11,0
11,1011043.7,463,0,0,1,23,11,0
12,1161039.4,465,0,0,1,25,11,0
13,350168.66,467,0,0,1,27,11,0
14,1613.5349,497,0,1,1,17,12,0
15,149179.09,539,0,0,1,19,13,0
16,123886.14,580,0,0,1,20,14,0
17,1818.1903,627,0,0,1,27,15,0
18,1386.8566,656,0,1,2,16,16,0
19,27493.623,703,0,0,1,23,17,0
20,1243.3296,745,0,0,1,25,18,0
21,104.0217,778,0,0,1,18,19,0
22,32.706451,820,0,3,2,20,20,0
23,1044.9166,824,0,0,1,24,20,0
24,1148.8184,855,0,2,1,15,21,0
25,877.91077,903,0,0,1,23,22,0
26,1159.056,934,0,0,1,14,23,0
27,710.76489,982,0,0,1,22,24,0
28,1335.2513,1013,0,0,1,13,25,0
29,453.47253,1061,0,2,1,21,26,0
30,22974.943,1135,0,0,1,15,28,0
31,2094.1968,1210,0,1,2,10,30,0
32,517638.09,1255,0,0,1,15,31,0
33,576.70587,1300,0,2,2,20,32,0
34,1285682.4,1416,0,4,2,16,35,0
35,1193888.1,1451,0,1,1,11,36,0
36,1484829.8,1576,0,1,1,16,39,0
37,107.56863,818,1,19,3,18,20,0
38,849.14307,1022,1,2,2,22,25,0
39,1021.8843,943,1,0,7,23,23,0
40,1148.5128,1221,1,3,9,21,30,0
41,1201.3436,864,1,5,2,24,21,0
42,1379.2894,894,1,0,4,14,22,0
43,1393.3116,785,1,14,3,25,19,0
44,1502.042,736,1,1,6,16,18,0
45,1566.218,973,1,2,2,13,24,0
46,1657.4199,895,1,8,9,15,22,0
47,1812.8442,537,1,14,16,17,13,0
48,1849.6481,666,1,199,14,26,16,0
49,2224.3267,1131,1,375,14,11,28,0
50,8312.9121,276,1,142,19,36,6,0
51,14276.395,823,1,302,9,23,20,0
52,26669.83,1096,1,75,11,16,27,0
53,36858.359,743,1,15,13,23,18,0
54,64507.98,219,1,29,10,19,5,0
55,136877.62,619,1,44,2,19,15,0
56,335213.09,540,1,14,1,20,13,0
57,413512.97,421,1,0,2,21,10,0
58,430401.75,500,1,3,7,20,12,0
59,442797.5,507,1,13,21,27,12,0
60,549917.88,1215,1,3,24,15,30,0
61,581363.12,302,1,56,1,22,7,0
62,1046204.4,424,1,0,2,24,10,0
63,1212492.9,343,1,6,29,23,8,0
64,1328504.6,1412,1,2,26,12,35,0
65,1366927.8,464,1,14,8,24,11,0
66,1675439.6,144,1,48,4,24,3,0
67,2840728,227,1,2,2,27,5,0
68,3044765.8,306,1,8,27,26,7,0
69,3537708.5,1336,1,1,5,16,33,0
70,3633972.2,1536,1,1,39,16,38,0
71,3655095,69,1,55,2,29,1,0
72,8675037,111,1,23,4,31,2,0
73,57177648,35,3,23,4,35,0,0
