"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,455.91821,33,0,3,2,33,0,0
1,1.4560885,99,0,5,4,19,2,0
2,0.95241416,378,0,4,3,18,9,0
3,1.4749708,577,0,2,2,17,14,0
4,0.22127876,779,0,0,1,19,19,0
5,0.12013862,859,0,0,1,19,21,0
6,0.017491117,896,0,0,1,16,22,0
7,0.027904144,1056,0,2,3,16,26,0
8,0.037231769,936,1,13,3,16,23,0
9,0.15500571,899,1,5,2,19,22,0
10,0.22346339,819,1,52,4,19,20,0
11,3.4098821,497,1,0,6,17,12,0
12,4.1357236,258,1,0,10,18,6,0
13,4.5378613,657,1,1015,20,17,16,0
14,477.94116,71,1,483,38,31,1,0
15,1638.0288,1599,3,483,38,39,39,0
