"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,3.161171,112,0,23,5,32,2,0
1,2.31778,536,0,90,10,16,13,0
2,3.6712549,717,0,0,1,37,17,0
3,2.4475796,1098,0,25,4,18,27,0
4,2.5261364,1226,0,3,2,26,30,0
5,2.525758,1267,0,3,1,27,31,0
6,2.5372415,1309,0,0,1,29,32,0
7,2.4844935,937,1,75,9,17,23,0
8,2.5361888,1224,1,4,2,24,30,0
9,2.5372248,1266,1,10,3,26,31,0
10,2.5436618,1269,1,750,24,29,31,0
11,3.3858314,310,1,257,11,30,7,0
12,3.6834834,677,1,346,43,37,16,0
13,7.2640166,1560,3,346,43,0,39,0
