"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
907,0,27,22,0,2.3979485,2.3979485,0
1599,3,39,39,0,2.3979485,6.1724505,0
826,0,26,20,0,2.3999593,2.3999593,0
866,1,26,21,0,2.3999593,2.4004624,0
909,0,29,22,0,2.4230247,2.4230247,0
908,1,28,22,0,2.4230247,2.4237945,0
695,0,15,17,0,2.6079416,2.6079416,0
696,1,16,17,0,2.6079416,2.6176176,0
654,0,14,16,0,2.6091845,2.6091845,0
655,1,15,16,0,2.6091845,2.6132679,0
1250,0,10,31,0,2.7673979,2.7673979,0
1052,1,12,26,0,2.7673979,2.8081834,0
604,0,4,15,0,2.8743289,2.8743289,0
605,1,5,15,0,2.8743289,2.8748178,0
43,2,3,1,0,4.0617342,4.0617342,0
83,3,3,2,0,4.0617342,4.1067443,0
