"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,2.7750335,27,3,1146,33,0.24051762,0,0,0,9,1,0,0,-75.345222,2.7750335,0
2,2.5560603,922,1,1146,33,0.0073626041,0,0,0,8,0,0,1,-75.406052,2.5560603,0
2,2.5560603,922,1,1146,33,0.0073626041,0,0,1,8,0,0,1,-75.345222,2.5560603,0
4,2.5428896,1421,1,281,22,0.007586956,0,0,0,7,0,0,2,-75.406052,2.5428896,0
4,2.5428896,1421,1,281,22,0.007586956,0,0,1,7,0,0,2,-75.345222,2.5428896,0
6,2.5486977,480,0,26,11,0.0073626041,0,0,0,0,0,0,1,-75.406052,2.5486977,0
6,2.5486977,480,0,26,11,0.0073626041,0,0,1,0,0,0,1,-75.406052,2.5486977,0
8,2.5345159,1190,0,79,10,0.24051762,0,0,0,1,1,0,0,-75.345222,2.5345159,0
8,2.5345159,1190,0,79,10,0.24051762,0,0,1,1,1,0,0,-75.345222,2.5345159,0
10,2.5374897,1577,1,54,5,6.4373016e-05,0,0,0,6,0,0,3,-75.418076,2.5374897,0
10,2.5374897,1577,1,54,5,6.4373016e-05,0,0,1,6,0,0,3,-75.406052,2.5374897,0
12,2.5364621,1575,1,4,2,0.00096225739,0,0,0,5,0,0,4,-75.418076,2.5364621,0
12,2.5364621,1575,1,4,2,0.00096225739,0,0,1,5,0,0,4,-75.406052,2.5364621,0
14,2.5374253,1578,0,0,1,6.4373016e-05,0,0,0,4,0,0,3,-75.418076,2.5374253,0
14,2.5374253,1578,0,0,1,6.4373016e-05,0,0,1,4,0,0,3,-75.418076,2.5374253,0
16,2.5353026,1574,0,0,1,0.007586956,0,0,0,2,0,0,2,-75.406052,2.5353026,0
16,2.5353026,1574,0,0,1,0.007586956,0,0,1,2,0,0,2,-75.406052,2.5353026,0
18,2.5354998,1576,0,0,1,0.00096225739,0,0,0,3,0,0,4,-75.418076,2.5354998,0
18,2.5354998,1576,0,0,1,0.00096225739,0,0,1,3,0,0,4,-75.418076,2.5354998,0
