"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1,0,1,0,0,2.3020258,2.3020258,0
1598,3,38,39,0,2.3020258,2.3034251,0
3,0,3,0,0,2.3020954,2.3020954,0
2,1,2,0,0,2.3020954,2.3021274,0
640,0,0,16,0,2.3021615,2.3021615,0
400,1,0,10,0,2.3021615,2.3022134,0
681,0,1,17,0,2.3021705,2.3021705,0
680,1,0,17,0,2.3021705,2.3021729,0
45,0,5,1,0,2.3021765,2.3021765,0
5,1,5,0,0,2.3021765,2.3021827,0
723,0,3,18,0,2.3021767,2.3021767,0
722,1,2,18,0,2.3021767,2.302186,0
240,0,0,6,0,2.3021836,2.3021836,0
161,1,1,4,0,2.3021836,2.3021989,0
882,0,2,22,0,2.3021913,2.3021913,0
842,1,2,21,0,2.3021913,2.3021936,0
880,0,0,22,0,2.3021917,2.3021917,0
881,1,1,22,0,2.3021917,2.3021927,0
363,0,3,9,0,2.3022108,2.3022108,0
323,1,3,8,0,2.3022108,2.302212,0
202,2,2,5,0,2.3022165,2.3022165,0
201,3,1,5,0,2.3022165,2.302232,0
87,0,7,2,0,2.3022256,2.3022256,0
47,1,7,1,0,2.3022256,2.3022268,0
403,2,3,10,0,2.302227,2.302227,0
362,3,2,9,0,2.302227,2.3022294,0
445,2,5,11,0,2.3022494,2.3022494,0
444,3,4,11,0,2.3022494,2.3022497,0
167,2,7,4,0,2.3022606,2.3022606,0
166,3,6,4,0,2.3022606,2.3022616,0
207,2,7,5,0,2.3022683,2.3022683,0
246,3,6,6,0,2.3022683,2.3022716,0
488,2,8,12,0,2.3022814,2.3022814,0
527,3,7,13,0,2.3022814,2.302283,0
373,0,13,9,0,2.3023415,2.3023415,0
372,1,12,9,0,2.3023415,2.3023431,0
133,0,13,3,0,2.3023689,2.3023689,0
132,1,12,3,0,2.3023689,2.3023705,0
17,0,17,0,0,2.3023703,2.3023703,0
56,1,16,1,0,2.3023703,2.302423,0
19,0,19,0,0,2.3023765,2.3023765,0
18,1,18,0,0,2.3023765,2.302423,0
21,0,21,0,0,2.3023877,2.3023877,0
20,1,20,0,0,2.3023877,2.302423,0
15,0,15,0,0,2.3024073,2.3024073,0
54,1,14,1,0,2.3024073,2.3024092,0
23,0,23,0,0,2.3024206,2.3024206,0
22,1,22,0,0,2.3024206,2.3024387,0
16,2,16,0,0,2.3024375,2.3024375,0
55,3,15,1,0,2.3024375,2.3024387,0
27,0,27,0,0,2.3024514,2.3024514,0
26,1,26,0,0,2.3024514,2.3024895,0
25,0,25,0,0,2.3024669,2.3024669,0
24,1,24,0,0,2.3024669,2.3024724,0
859,0,19,21,0,2.3025327,2.3025327,0
819,1,19,20,0,2.3025327,2.3025348,0
1295,2,15,32,0,2.3025956,2.3025956,0
1294,3,14,32,0,2.3025956,2.3025961,0
110,2,30,2,0,2.3026686,2.3026686,0
70,3,30,1,0,2.3026686,2.3026719,0
191,0,31,4,0,2.3027058,2.3027058,0
151,1,31,3,0,2.3027058,2.3027198,0
387,2,27,9,0,2.3027287,2.3027287,0
386,3,26,9,0,2.3027287,2.3027291,0
113,2,33,2,0,2.3027334,2.3027334,0
112,3,32,2,0,2.3027334,2.3027432,0
35,0,35,0,0,2.3027444,2.3027444,0
34,1,34,0,0,2.3027444,2.3027625,0
193,0,33,4,0,2.3027456,2.3027456,0
153,1,33,3,0,2.3027456,2.3027494,0
351,0,31,8,0,2.3027716,2.3027716,0
350,1,30,8,0,2.3027716,2.3027866,0
37,0,37,0,0,2.3027725,2.3027725,0
36,1,36,0,0,2.3027725,2.3027866,0
115,2,35,2,0,2.3027725,2.3027725,0
114,3,34,2,0,2.3027725,2.3027749,0
310,2,30,7,0,2.3027728,2.3027728,0
270,3,30,6,0,2.3027728,2.3027751,0
272,2,32,6,0,2.3027906,2.3027906,0
232,3,32,5,0,2.3027906,2.3027909,0
712,0,32,17,0,2.3028791,2.3028791,0
751,1,31,18,0,2.3028791,2.302882,0
672,2,32,16,0,2.3028877,2.3028877,0
632,3,32,15,0,2.3028877,2.3028939,0
277,2,37,6,0,2.3029063,2.3029063,0
276,3,36,6,0,2.3029063,2.3029089,0
279,2,39,6,0,2.3029535,2.3029535,0
278,3,38,6,0,2.3029535,2.3029695,0
1479,2,39,36,0,2.3034022,2.3034022,0
1478,3,38,36,0,2.3034022,2.3034027,0
1599,0,39,39,0,2.3034208,2.3034208,0
1559,1,39,38,0,2.3034208,2.3034225,0
