"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
5,0,5,0,0,2.4287372,2.4287372,0
1560,3,0,39,0,2.4287372,2.4428654,0
7,0,7,0,0,2.4287512,2.4287512,0
6,1,6,0,0,2.4287512,2.4290032,0
3,0,3,0,0,2.4287524,2.4287524,0
4,1,4,0,0,2.4287524,2.4290156,0
9,0,9,0,0,2.4287953,2.4287953,0
8,1,8,0,0,2.4287953,2.4290214,0
1,0,1,0,0,2.4287965,2.4287965,0
2,1,2,0,0,2.4287965,2.4290562,0
11,0,11,0,0,2.4288688,2.4288688,0
10,1,10,0,0,2.4288688,2.429069,0
13,0,13,0,0,2.428973,2.428973,0
12,1,12,0,0,2.428973,2.4291463,0
15,0,15,0,0,2.4291077,2.4291077,0
14,1,14,0,0,2.4291077,2.4292541,0
17,0,17,0,0,2.4292729,2.4292729,0
16,1,16,0,0,2.4292729,2.4293923,0
19,0,19,0,0,2.4294693,2.4294693,0
18,1,18,0,0,2.4294693,2.4295611,0
21,0,21,0,0,2.4296961,2.4296961,0
20,1,20,0,0,2.4296961,2.4297612,0
23,0,23,0,0,2.4299545,2.4299545,0
22,1,22,0,0,2.4299545,2.4299922,0
25,0,25,0,0,2.4302437,2.4302437,0
24,1,24,0,0,2.4302437,2.430254,0
