"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Persistence","ClusterID","TreeID","isDummyNode","TrueNodeId","isImportantPair","isMultiPersPairNode","BranchNodeID","Points:0","Points:1","Points:2"
0,5.3255544,1,3,1540,26,2.9470191,0,0,0,3,1,0,0,-50.147957,5.3255544,0
2,2.4111564,779,1,1540,26,0.0028555393,0,0,0,2,0,0,1,-50.33794,2.4111564,0
2,2.4111564,779,1,1540,26,0.0028555393,0,0,1,2,0,0,1,-50.147957,2.4111564,0
4,2.3785353,1101,0,51,8,2.9470191,0,0,0,1,1,0,0,-50.147957,2.3785353,0
4,2.3785353,1101,0,51,8,2.9470191,0,0,1,1,1,0,0,-50.147957,2.3785353,0
6,2.4083009,738,0,5,1,0.0028555393,0,0,0,0,0,0,1,-50.33794,2.4083009,0
6,2.4083009,738,0,5,1,0.0028555393,0,0,1,0,0,0,1,-50.33794,2.4083009,0
