"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
1469,0,29,36,0,2.3030155,2.3030155,0
0,3,0,0,0,2.3030155,2.3245308,0
1596,0,36,39,0,2.3030224,2.3030224,0
1555,1,35,38,0,2.3030224,2.3030839,0
1428,0,28,35,0,2.3030233,2.3030233,0
1468,1,28,36,0,2.3030233,2.3030307,0
1507,0,27,37,0,2.3030293,2.3030293,0
1468,1,28,36,0,2.3030293,2.3030307,0
1473,0,33,36,0,2.3030369,2.3030369,0
1470,1,30,36,0,2.3030369,2.3030603,0
1471,0,31,36,0,2.3030393,2.3030393,0
1472,1,32,36,0,2.3030393,2.3030529,0
1558,0,38,38,0,2.3030901,2.3030901,0
1597,1,37,39,0,2.3030901,2.3030958,0
1599,0,39,39,0,2.3031049,2.3031049,0
1559,1,39,38,0,2.3031049,2.3031094,0
1359,0,39,33,0,2.3031907,2.3031907,0
1398,1,38,34,0,2.3031907,2.3031962,0
1115,0,35,27,0,2.3032572,2.3032572,0
1114,1,34,27,0,2.3032572,2.3032608,0
1036,0,36,25,0,2.3032579,2.3032579,0
1076,1,36,26,0,2.3032579,2.3032582,0
996,2,36,24,0,2.3032618,2.3032618,0
1075,3,35,26,0,2.3032618,2.3032641,0
1079,0,39,26,0,2.3032639,2.3032639,0
1038,1,38,25,0,2.3032639,2.3032761,0
1155,2,35,28,0,2.3032744,2.3032744,0
1154,3,34,28,0,2.3032744,2.3032775,0
959,2,39,23,0,2.3032968,2.3032968,0
998,3,38,24,0,2.3032968,2.3032994,0
1199,2,39,29,0,2.3033016,2.3033016,0
1237,3,37,30,0,2.3033016,2.3033171,0
1198,2,38,29,0,2.3033106,2.3033106,0
1158,3,38,28,0,2.3033106,2.3033113,0
788,0,28,19,0,2.3033521,2.3033521,0
828,1,28,20,0,2.3033521,2.3033521,0
867,2,27,21,0,2.3033566,2.3033566,0
907,3,27,22,0,2.3033566,2.3033614,0
638,0,38,15,0,2.3034456,2.3034456,0
678,1,38,16,0,2.3034456,2.3034461,0
23,0,23,0,0,2.3034995,2.3034995,0
538,1,18,13,0,2.3034995,2.3038244,0
21,0,21,0,0,2.3035195,2.3035195,0
22,1,22,0,0,2.3035195,2.3036249,0
25,0,25,0,0,2.3035593,2.3035593,0
24,1,24,0,0,2.3035593,2.3036427,0
1531,0,11,38,0,2.3035703,2.3035703,0
1492,1,12,37,0,2.3035703,2.3035707,0
1571,2,11,39,0,2.3035781,2.3035781,0
1532,3,12,38,0,2.3035781,2.3035831,0
19,0,19,0,0,2.3035815,2.3035815,0
20,1,20,0,0,2.3035815,2.303586,0
176,0,16,4,0,2.3036544,2.3036544,0
137,1,17,3,0,2.3036544,2.3036773,0
318,0,38,7,0,2.3036869,2.3036869,0
398,1,38,9,0,2.3036869,2.3037133,0
1364,0,4,34,0,2.3036985,2.3036985,0
1169,1,9,29,0,2.3036985,2.3038001,0
359,0,39,8,0,2.3037064,2.3037064,0
358,1,38,8,0,2.3037064,2.3037081,0
435,2,35,10,0,2.3037264,2.3037264,0
437,3,37,10,0,2.3037264,2.3037288,0
394,2,34,9,0,2.3037336,2.3037336,0
395,3,35,9,0,2.3037336,2.3037341,0
1206,0,6,30,0,2.3037786,2.3037786,0
1245,1,5,31,0,2.3037786,2.3037887,0
234,0,34,5,0,2.3037903,2.3037903,0
274,1,34,6,0,2.3037903,2.3038096,0
27,0,27,0,0,2.3037922,2.3037922,0
26,1,26,0,0,2.3037922,2.3037932,0
1209,2,9,30,0,2.3038013,2.3038013,0
1170,3,10,29,0,2.3038013,2.303803,0
497,0,17,12,0,2.3038025,2.3038025,0
457,1,17,11,0,2.3038025,2.3038118,0
1248,2,8,31,0,2.3038039,2.3038039,0
1289,3,9,32,0,2.3038039,2.3038144,0
1287,2,7,32,0,2.3038056,2.3038056,0
1247,3,7,31,0,2.3038056,2.3038073,0
1406,2,6,35,0,2.3038125,2.3038125,0
1366,3,6,34,0,2.3038125,2.3038287,0
313,2,33,7,0,2.3038428,2.3038428,0
353,3,33,8,0,2.3038428,2.3038447,0
33,0,33,0,0,2.3038445,2.3038445,0
114,1,34,2,0,2.3038445,2.3039145,0
78,0,38,1,0,2.3038797,2.3038797,0
117,1,37,2,0,2.3038797,2.3038833,0
29,0,29,0,0,2.3038898,2.3038898,0
28,1,28,0,0,2.3038898,2.3039052,0
35,2,35,0,0,2.3039219,2.3039219,0
75,3,35,1,0,2.3039219,2.3039236,0
113,2,33,2,0,2.3039343,2.3039343,0
153,3,33,3,0,2.3039343,2.303947,0
150,2,30,3,0,2.3039451,2.3039451,0
151,3,31,3,0,2.3039451,2.303962,0
30,2,30,0,0,2.3039563,2.3039563,0
146,3,26,3,0,2.3039563,2.3040295,0
109,2,29,2,0,2.3039563,2.3039563,0
70,3,30,1,0,2.3039563,2.3039758,0
