"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
820,0,20,20,0,32.706451,32.706451,0
35,3,35,0,0,32.706451,57177648,0
778,0,18,19,0,104.0217,104.0217,0
818,1,18,20,0,104.0217,107.56863,0
1061,0,21,26,0,453.47253,453.47253,0
823,1,23,20,0,453.47253,14276.395,0
1300,0,20,32,0,576.70587,576.70587,0
1221,1,21,30,0,576.70587,1148.5128,0
982,0,22,24,0,710.76489,710.76489,0
1022,1,22,25,0,710.76489,849.14307,0
903,0,23,22,0,877.91077,877.91077,0
943,1,23,23,0,877.91077,1021.8843,0
824,0,24,20,0,1044.9166,1044.9166,0
864,1,24,21,0,1044.9166,1201.3436,0
855,0,15,21,0,1148.8184,1148.8184,0
895,1,15,22,0,1148.8184,1657.4199,0
934,0,14,23,0,1159.056,1159.056,0
894,1,14,22,0,1159.056,1379.2894,0
745,0,25,18,0,1243.3296,1243.3296,0
785,1,25,19,0,1243.3296,1393.3116,0
1013,0,13,25,0,1335.2513,1335.2513,0
973,1,13,24,0,1335.2513,1566.218,0
656,0,16,16,0,1386.8566,1386.8566,0
736,1,16,18,0,1386.8566,1502.042,0
497,0,17,12,0,1613.5349,1613.5349,0
537,1,17,13,0,1613.5349,1812.8442,0
627,0,27,15,0,1818.1903,1818.1903,0
666,1,26,16,0,1818.1903,1849.6481,0
777,2,17,19,0,1823.5183,1823.5183,0
816,3,16,20,0,1823.5183,2120.6704,0
1210,0,10,30,0,2094.1968,2094.1968,0
1131,1,11,28,0,2094.1968,2224.3267,0
236,0,36,5,0,8288.6006,8288.6006,0
276,1,36,6,0,8288.6006,8312.9121,0
1135,0,15,28,0,22974.943,22974.943,0
1096,1,16,27,0,22974.943,26669.83,0
703,0,23,17,0,27493.623,27493.623,0
743,1,23,18,0,27493.623,36858.359,0
941,2,21,23,0,31958.627,31958.627,0
902,3,22,22,0,31958.627,55677.629,0
180,0,20,4,0,41095.246,41095.246,0
219,1,19,5,0,41095.246,64507.98,0
1134,2,14,28,0,112784.96,112784.96,0
1094,3,14,27,0,112784.96,135604.97,0
1020,2,20,25,0,114610.77,114610.77,0
981,3,21,24,0,114610.77,257582.28,0
580,0,20,14,0,123886.14,123886.14,0
619,1,19,15,0,123886.14,136877.62,0
619,2,19,15,0,136877.62,136877.62,0
658,3,18,16,0,136877.62,185866.3,0
