"NodeId","Scalar","VertexId","CriticalType","RegionSize","RegionSpan","Points:0","Points:1","Points:2"
0,2.7809842,308,0,0,1,28,7,0
1,2.4340277,620,0,372,10,20,15,0
2,2.9684763,642,0,0,1,2,16,0
3,2.9584036,683,0,3,1,3,17,0
4,3.2122035,1195,0,0,1,35,29,0
5,3.2379661,1197,0,1,1,37,29,0
6,3.2852814,1199,0,0,1,39,29,0
7,2.7868128,348,1,203,24,28,8,0
8,2.9807553,682,1,0,3,2,17,0
9,2.9921577,685,1,214,31,5,17,0
10,3.219182,1155,1,19,2,35,28,0
11,3.2496018,1157,1,44,1,37,28,0
12,3.2977507,1198,1,730,47,38,29,0
13,5.8251181,0,3,730,47,0,0,0
